index	form-tag	glottocode-tag	wals-tag
0	MAR	gcf-mar	mqc
1	GUA	gcf-gua	gdl
2	MAR	gcf-mar	mqc
3	GUA	gcf-gua	gdl
4	GUA	gcf-gua	gdl
5	GUA	gcf-gua	gdl
6	MAR	gcf-mar	mqc
7	GUA	gcf-gua	gdl
8	GUA	gcf-gua	gdl
9	GUA	gcf-gua	gdl
10	MAR	gcf-mar	mqc
11	GUA	gcf-gua	gdl
12	GUA	gcf-gua	gdl
13	GUA	gcf-gua	gdl
14	MAR	gcf-mar	mqc
15	GUA	gcf-gua	gdl
16	MAR	gcf-mar	mqc
17	MAR	gcf-mar	mqc
18	GUA	gcf-gua	gdl
19	MAR	gcf-mar	mqc
20	MAR	gcf-mar	mqc
21	GUA	gcf-gua	gdl
22	MAR	gcf-mar	mqc
23	GUA	gcf-gua	gdl
24	GUA	gcf-gua	gdl
25	GUA	gcf-gua	gdl
26	GUA	gcf-gua	gdl
27	MAR	gcf-mar	mqc
28	GUA	gcf-gua	gdl
29	MAR	gcf-mar	mqc
30	GUA	gcf-gua	gdl
31	GUA	gcf-gua	gdl
32	MAR	gcf-mar	mqc
33	MAR	gcf-mar	mqc
34	MAR	gcf-mar	mqc
35	MAR	gcf-mar	mqc
36	GUA	gcf-gua	gdl
37	MAR	gcf-mar	mqc
38	GUA	gcf-gua	gdl
39	GUA	gcf-gua	gdl
40	GUA	gcf-gua	gdl
41	MAR	gcf-mar	mqc
42	MAR	gcf-mar	mqc
43	MAR	gcf-mar	mqc
44	MAR	gcf-mar	mqc
45	GUA	gcf-gua	gdl
46	MAR	gcf-mar	mqc
47	GUY	gcr	gfr
48	GUY	gcr	gfr
49	GUY	gcr	gfr
50	GUY	gcr	gfr
51	GUY	gcr	gfr
52	GUY	gcr	gfr
53	GUY	gcr	gfr
54	GUY	gcr	gfr
55	GUY	gcr	gfr
56	GUY	gcr	gfr
57	GUY	gcr	gfr
58	GUY	gcr	gfr
59	GUY	gcr	gfr
60	GUY	gcr	gfr
61	GUY	gcr	gfr
62	GUY	gcr	gfr
63	GUY	gcr	gfr
64	GUY	gcr	gfr
65	GUY	gcr	gfr
66	GUY	gcr	gfr
67	GUY	gcr	gfr
68	HAI	hat	hcr
69	HAI	hat	hcr
70	HAI	hat	hcr
71	HAI	hat	hcr
72	HAI	hat	hcr
73	HAI	hat	hcr
74	HAI	hat	hcr
75	HAI	hat	hcr
76	HAI	hat	hcr
77	HAI	hat	hcr
78	HAI	hat	hcr
79	HAI	hat	hcr
80	HAI	hat	hcr
81	HAI	hat	hcr
82	HAI	hat	hcr
83	HAI	hat	hcr
84	HAI	hat	hcr
85	HAI	hat	hcr
86	HAI	hat	hcr
87	HAI	hat	hcr
88	HAI	hat	hcr
89	HAI	hat	hcr
90	HAI	hat	hcr
91	HAI	hat	hcr
92	HAI	hat	hcr
93	HAI	hat	hcr
94	HAI	hat	hcr
95	HAI	hat	hcr
96	HAI	hat	hcr
97	HAI	hat	hcr
98	MAR	gcf-mar	mqc
99	MAR	gcf-mar	mqc
100	GUA	gcf-gua	gdl
101	GUA	gcf-gua	gdl
102	MAR	gcf-mar	mqc
103	MAR	gcf-mar	mqc
104	GUA	gcf-gua	gdl
105	GUA	gcf-gua	gdl
106	MAR	gcf-mar	mqc
107	MAR	gcf-mar	mqc
108	MAR	gcf-mar	mqc
109	GUA	gcf-gua	gdl
110	MAR	gcf-mar	mqc
111	MAR	gcf-mar	mqc
112	MAR	gcf-mar	mqc
113	MAR	gcf-mar	mqc
114	MAR	gcf-mar	mqc
115	MAR	gcf-mar	mqc
116	GUA	gcf-gua	gdl
117	GUA	gcf-gua	gdl
118	GUA	gcf-gua	gdl
119	GUA	gcf-gua	gdl
120	MAR	gcf-mar	mqc
121	GUA	gcf-gua	gdl
122	MAR	gcf-mar	mqc
123	GUY	gcr	gfr
124	GUY	gcr	gfr
125	GUY	gcr	gfr
126	GUY	gcr	gfr
127	GUY	gcr	gfr
128	GUY	gcr	gfr
129	GUY	gcr	gfr
130	GUY	gcr	gfr
131	GUY	gcr	gfr
132	GUY	gcr	gfr
133	GUY	gcr	gfr
134	GUY	gcr	gfr
135	HAI	hat	hcr
136	HAI	hat	hcr
137	HAI	hat	hcr
138	HAI	hat	hcr
139	HAI	hat	hcr
140	HAI	hat	hcr
141	HAI	hat	hcr
142	HAI	hat	hcr
143	HAI	hat	hcr
144	HAI	hat	hcr
145	HAI	hat	hcr
146	HAI	hat	hcr
147	HAI	hat	hcr
148	HAI	hat	hcr
