Formulaire,Horodateur,"De quelle(s) île(s) êtes-vous, ou votre famille, originaire ? ",Dans quelle tranche d'âge vous situez-vous ?,Quelle(s) langue(s) créole(s) parlez-vous au quotidien ?,Quel niveau de confort possédez-vous dans cette ou ces variété(s) ?  [Je comprends pleinement],Quel niveau de confort possédez-vous dans cette ou ces variété(s) ?  [Je m'exprime pleinement],Quel niveau de confort possédez-vous dans cette ou ces variété(s) ?  [Je comprends moyennement],Quel niveau de confort possédez-vous dans cette ou ces variété(s) ?  [Je m'exprime moyennement],Quel niveau de confort possédez-vous dans cette ou ces variété(s) ?  [Je comprends peu],Quel niveau de confort possédez-vous dans cette ou ces variété(s) ?  [Je m'exprime peu],Avez-vous déjà étudié ou enseigné une ou des langues créoles ?,"DEMANDE DE CONSENTEMENT

Êtes-vous d'accord pour répondre le plus précisément possible à ce questionnaire, et pour que vos réponses ci-avant et ci-après soient utilisées dans la production finale écrite de ce projet universitaire ?",Une demande spéciale ? Un commentaire ? Une question ?,À quel point diriez-vous que ce texte est écrit en Guadeloupéen ?,À quel point diriez-vous que ce texte est écrit en Guyanais ?,À quel point diriez-vous que ce texte est écrit en Haïtien ? ,À quel point diriez-vous que ce texte est écrit en Martiniquais ? ,"À part les mentions de lieux qui peuvent indiquer la provenance du texte, quels indices dans le texte vous a mis sur la piste ? Est-ce un mot ou une tournure de phrase particulière ? Ou alors la graphie de tel ou tel mot ? ",À quel point diriez-vous que ce texte est écrit en Guadeloupéen ? ,À quel point diriez-vous que ce texte est écrit en Guyanais ? ,À quel point diriez-vous que ce texte est écrit en Haïtien ? ,À quel point diriez-vous que ce texte est écrit en Martiniquais ? ,"À part les mentions de lieux qui peuvent indiquer la provenance du texte, quels indices dans le texte vous a mis sur la piste ? Est-ce un mot ou une tournure de phrase particulière ? Ou alors la graphie de tel ou tel mot ? ",À quel point diriez-vous que ce texte est écrit en Guadeloupéen ? ,À quel point diriez-vous que ce texte est écrit en Guyanais ? ,À quel point diriez-vous que ce texte est écrit en Haïtien ? 
N,06/07/2026 00:05:36,Guadeloupe ,18-30,Guadeloupéen,"à l'oral, à l'écrit",,,,,,Oui,oui,,1,0,6,0,"j'ai toujours du mal a reconnaître les autres creole que le guadeloupéen mais je dirai que c'est haitien avec les tournures du ""an"" ; ""a"" et du ""yan"" a la fin des mots comme ""Filipin-yan"" "" Pasifik-a"". 
Aussi avec l'orthographe de certains mots comme ""prodjwi""",5,0,0,10,"l'orthographe des mots ""tjè"" je sais que c'est du martiniquais ; pareil pour ""ek"" ; ""epi'y"" je sais que c'est du martiniquais mais le guadeloupéen et martiniquais est tres proche dans l'ensemble ",5,0,0
M,17/06/2026 22:52:04,Guadeloupe et Reunion,30-45,Guadeloupéen,"à l'oral, à l'écrit","à l'oral, à l'écrit",,,,,Oui,oui,Rien a Signaler,0,0,10,0,"les mots ""ap"" ""nan"" ""yòn"" créole haïtien ",0,0,10,0,"les mots ""ap"" ""ak"" ",0,0,0
L,24/06/2026 12:05:10,Haïti ,18-30,Haïtien,"à l'oral, à l'écrit","à l'oral, à l'écrit",,,,,Oui,oui,,0,0,9,0,"Les accents, les mots en créole haïtien s'écrivent différemment qu'en créole guyanais par exemple et aussi la tournure des phrases ",8,0,0,0,"La graphie du mot évè par sélection le créole martiniquais pour moi se rapproche plus du créole Haïtien, et le créole guyanais la tonalité sont différentes",0,0,10
L,24/06/2026 12:15:17,Martinique ,60-75,Martiniquais,"à l'oral, à l'écrit",à l'oral,,,,à l'écrit,Non,oui,,0,0,10,0,Ak ,0,0,0,10,La provenance ,10,0,5
K,22/06/2026 15:45:27,,30-45,"Guadeloupéen, Guyanais, Haïtien, Martiniquais","à l'oral, à l'écrit","à l'oral, à l'écrit","à l'oral, à l'écrit","à l'oral, à l'écrit","à l'oral, à l'écrit","à l'oral, à l'écrit",Oui,oui,Mwen poko gen bokou bagay map di kounye ya,9,5,3,6,Yon mo,8,7,4,6,Graphise,4,10,6
I,15/07/2026 13:19:23,Guyane ,18-30,Haïtien,"à l'oral, à l'écrit","à l'oral, à l'écrit",,,,,Non,oui,Non ,0,0,0,10,Tout ,0,9,0,0,Mot zot ,6,0,0
H,24/06/2026 17:21:46,Guadeloupe Martinique ,18-30,"Guadeloupéen, Martiniquais","à l'oral, à l'écrit","à l'oral, à l'écrit",,,,,Oui,oui,,0,0,10,0,Les m’ et les n’ ,0,0,10,0,Al,10,0,0
G,24/06/2026 16:31:34,Haïti ,30-45,Haïtien,"à l'oral, à l'écrit","à l'oral, à l'écrit",,,,,Oui,oui,,9,7,6,5,Une tournure de phrase,2,2,9,2,Une tournure de phrase ,5,5,5
F,12/07/2026 19:55:54,Guadeloupe ,30-45,Guadeloupéen,"à l'oral, à l'écrit",,,"à l'oral, à l'écrit",,,Non,oui,,0,0,5,5,"Créole martiniquais: bagay est un mot typiquement martiniquais ou encore la tournure lanné-a par exemple 
Et le mot nan est typiquement haïtien ",0,0,0,10,Manmay qui veut dire enfant en créole martiniquais ,10,0,0
E,28/06/2026 23:06:52,,18-30,"Guyanais, Haïtien","à l'oral, à l'écrit","à l'oral, à l'écrit",,,,,Non,oui,,0,0,10,0,Les phrases ,10,0,0,0,Certains mots ,0,0,10
E,29/06/2026 21:04:06,Haiti ,18-30,"Guyanais, Haïtien",à l'oral,à l'oral,à l'écrit,,,,Non,oui,,3,0,0,3,grinkat   $ 680,6,1,1,5,boug-la,0,0,10
D,17/06/2026 10:13:31,MARTINIQUE,45-60,Martiniquais,"à l'oral, à l'écrit",à l'oral,,à l'écrit,,à l'écrit,Non,oui,pas dans l'immédiat,7,0,0,4,Les expressions créoles,7,0,0,6,les tournures de phrase,0,0,0
C,12/06/2026 19:46:39,Haïti,45-60,Haïtien,"à l'oral, à l'écrit","à l'oral, à l'écrit",,,,,Non,oui,,0,10,0,0,"La tournure des phrases n'est pas fluide à mon oreille. Je côtoie des Haïtiens, Guadeloupéens et des Martiniquais dans mon quotidien et ce n'est pas e créole antillais ",5,0,0,5,"Je ne suis sûre que de deux choses, ce n'est pas haïtien ni guyanais ",2,0,0
B,25/06/2026 21:15:34,Haïti ,45-60,Haïtien,,à l'oral,,,,,Non,oui,C'est  très bien d'avoir choisi de travailler sur le créole ,7,2,0,9,Une  tournure  et les mots ,9,4,9,5,Tournure de phrase et  aussi les mots ,8,4,9
A,16/06/2026 09:51:45,MARTINIQUE,45-60,"Guadeloupéen, Martiniquais, MAURICIEN","à l'oral, à l'écrit",à l'oral,,,,,Non,oui,,0,0,0,10,LA TOURNURE DES PHRASES ,10,0,0,0,LA TOURNURE DES PHRASES ,0,0,0
